title,release_date,multiplayer,age_criteria,rating_system,link,img,off_pct,original_price,discounted_price,star_rating,total_reviews,optimization,platforms,description,sales_title,scrape_timestamp
Book of Demons,2020-04-29,false,7+,IARC,https://www.xbox.com/en-in/games/store/book-of-demons/9NBD4TWVRV37,https://store-images.s-microsoft.com/image/apps.35091.13519447161344886.ba8d485b-4808-42ac-8f21-5829ba84c5be.3e4b3b45-6ca0-4626-a9ac-87ab9d297f5f?w=200,90%,"2,080.00",208.00,,,,"Xbox Series X|S, Xbox One",Book of Demons is a Hack & Slash Deck-building hybrid in which you decide the length of quests. Wield magic cards and slay the armies of darkness in the Old Cathedral dungeons. Save the terror-stricken Paperverse from the clutches of the Archdemon himself!,Countdown Sale,2023-12-30 12:16:41
Borderlands 3,2019-09-13,true,18+,IARC,https://www.xbox.com/en-in/games/store/borderlands-3/C34NB0F1B5WQ,https://store-images.s-microsoft.com/image/apps.29198.66416288418246547.8db04ed4-6710-424c-b2c7-fc1b8f89e9a2.125b501a-844a-4ec6-86ef-3c46ebf4c698?w=200,85%,"3,999.00",599.85,3.8,41,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","The original shooter-looter returns, packing bazillions of guns and an all-new mayhem-fueled adventure! Blast through new worlds and enemies as one of four brand new Vault Hunters, each with deep skill trees, abilities, and customization.",Countdown Sale,2023-12-30 12:16:41
Borderlands 3 Season Pass Bundle,2021-10-24,false,18+,IARC,https://www.xbox.com/en-in/games/store/borderlands-3-season-pass-bundle/9P5TDCX9TVJJ,https://store-images.s-microsoft.com/image/apps.9278.14632659030515591.9ff1b004-0fbd-47d5-b871-c509a5ff052a.4fe25d38-b964-414d-8d1f-02af168aad30?w=200,67%,"4,995.00","1,648.35",,,,"Xbox Series X|S, Xbox One","Get two seasons' worth of Borderlands 3's premium add-ons in one glorious package with the Season Pass Bundle! Make more mayhem with additional story campaigns, a challenging raid boss, an extra skill tree for each Vault Hunter, kickin' cosmetic items, and more!",Countdown Sale,2023-12-30 12:16:41
Borderlands 3: Super Deluxe Edition,2019-09-12,true,18+,IARC,https://www.xbox.com/en-in/games/store/borderlands-3-super-deluxe-edition/BTKGPC4331HC,https://store-images.s-microsoft.com/image/apps.30170.70395538434650318.3a5d6dda-7f4f-41d2-b4d3-d91eb6b55430.d17cfa9c-2704-49a2-a9a9-668d48384b44?w=200,75%,"5,390.00","1,347.50",,,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Wield bazillions of guns in the award-winning, mayhem-fueled adventure of Borderlands 3! Blast through multiple worlds as 1 of 4 Vault Hunters – the ultimate treasure-seekers of the Borderlands.",Countdown Sale,2023-12-30 12:16:41
Borderlands Collection: Pandora's Box,2023-08-31,true,18+,IARC,https://www.xbox.com/en-in/games/store/borderlands-collection-pandoras-box/9NZJGLTJX1J1,https://store-images.s-microsoft.com/image/apps.56309.14475172487230594.1ac25841-3418-4255-b4f2-b0d06746cef1.f9c9de55-d169-4483-a4ef-5a4bd707f6cd?w=200,67%,"12,488.00","4,121.04",4.8,20,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Get the complete Borderlands experience with this all-in-one collection, featuring all six games and all their add-on content in one giant bundle!",Countdown Sale,2023-12-30 12:16:41
Borderlands Legendary Collection,2020-05-28,true,18+,IARC,https://www.xbox.com/en-in/games/store/borderlands-legendary-collection/9N951JR9T3FX,https://store-images.s-microsoft.com/image/apps.29359.13544035497810545.ca0e1ab6-caad-4791-8f56-a4ce8896d945.cd29937c-6c31-4e67-960a-b68319c258a5?w=200,60%,"3,699.00","1,479.60",,,,"Xbox Series X|S, Xbox One","Get 3 times the mayhem, 3 times the loot, and 3 times the action with the Borderlands Legendary Collection!",Countdown Sale,2023-12-30 12:16:41
Borderlands: Game of the Year Edition,2019-04-03,true,18+,IARC,https://www.xbox.com/en-in/games/store/borderlands-game-of-the-year-edition/BVMMV3Q3ZB1F,https://store-images.s-microsoft.com/image/apps.29324.71029176982638972.07f274c3-060d-4786-b7b2-69156454002c.8b96fcc3-c9bd-4c79-a956-a9bd3ef02895?w=200,67%,"2,290.00",755.70,,,,"Xbox Series X|S, Xbox One","Xbox One X Enhanced, featuring 4K Ultra HD and HDR.Discover the co-op shooter-looter that started it all, crammed with content and enhancements! Equip bazillions of guns as one of four trigger-happy mercenaries, each with unique RPG skills.",Countdown Sale,2023-12-30 12:16:41
Bramble: The Mountain King,2023-06-27,false,18+,IARC,https://www.xbox.com/en-in/games/store/bramble-the-mountain-king/9NHDFTCL691C,https://store-images.s-microsoft.com/image/apps.23082.13632216686838138.75c1faa1-905a-45e9-bf68-ccd9a6fa78e1.190d4457-3254-4c9a-a65c-f80a2f7da934?w=200,50%,"1,624.00",812.00,4.6,77,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One, PC","Bramble The Mountain King is a grim adventure set in a world inspired by dark, Nordic fables. Explore the beautiful yet dangerous and twisted land of Bramble in your endeavour to rescue your sister. Traverse a wondrous landscape and survive deadly encounters with Bramble's many hideous creatures.",Countdown Sale,2023-12-30 12:16:41
Bratz®: Flaunt your fashion - Complete Edition,2023-10-26,false,3+,IARC,https://www.xbox.com/en-in/games/store/bratz-flaunt-your-fashion---complete-edition/9NJ5JHW7S49J,https://store-images.s-microsoft.com/image/apps.35029.13682695884773209.ccc838c0-7841-4e32-aa7e-8c787e93e137.01eef9ee-54b9-439b-9746-32b56c146663?w=200,40%,"1,899.00","1,139.40",,,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Bratz: Flaunt Your Fashion - Complete Edition offers a thrilling fashion adventure! Customize your favorite Bratz character, explore Stilesville and beyond. Complete quests, play bratitude-filled minigames, and chase the most significant stories while creating the ultimate fashion magazine.",Countdown Sale,2023-12-30 12:16:41
Bravery and Greed,2022-11-14,true,7+,IARC,https://www.xbox.com/en-in/games/store/bravery-and-greed/9PMQMGQ5L7QQ,https://store-images.s-microsoft.com/image/apps.48288.14293282150730785.a3eb927e-6692-438a-92a3-4ac0de1f405e.d6aaa88e-798d-497c-b13f-76a7dcfd370d?w=200,50%,"1,499.00",749.50,,,,"Xbox Series X|S, Xbox One","Bravery and Greed is a beat 'em up, roguelite, dungeon brawler for up to four players. Choose from four classic fantasy classes, engage in a deep robust combat system, and play a variety of co-operative and competitive game modes with friends via local, online or both. Get rich, or die trying!",Countdown Sale,2023-12-30 12:16:41
Nickelodeon All-Star Brawl,2021-10-04,true,7+,IARC,https://www.xbox.com/en-in/games/store/nickelodeon-all-star-brawl/9N75X3XT3T8Z,https://store-images.s-microsoft.com/image/apps.9325.14070934948906062.cd649546-3682-4431-b932-1cc60ff5b09e.1604d9bd-66a4-4f2e-b47d-326b07de5493?w=200,90%,"2,724.00",272.40,2.6,7,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Brawl it out as your favorite Nickelodeon characters in bombastic platform battles! With a power-packed cast of heroes from the Nickelodeon universe, face-off with all-stars from SpongeBob Squarepants, Teenage Mutant Ninja Turtles, The Loud House, Danny Phantom, Aaahh!!!",Countdown Sale,2023-12-30 12:16:41
Nickelodeon All-Star Brawl 2,2023-11-14,true,7+,IARC,https://www.xbox.com/en-in/games/store/nickelodeon-all-star-brawl-2/9PN0LC4CNLPT,https://store-images.s-microsoft.com/image/apps.31475.14288058754217024.34c1b6b9-953f-418c-9ab0-c1ebd8ce9cbc.7e8f6172-8fe3-4dca-9c2e-ccd81356e743?w=200,40%,"2,724.00","1,634.40",3.6,12,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Nickelodeon All-Star Brawl 2 lets you duke it out with the biggest and best fighting character roster yet! Choose your favorite brawlers, master their unique move sets, and use all-new powerful Supers to land the finishing blow with friends or across a unique, roguelike player campaign!",Countdown Sale,2023-12-30 12:16:41
Nickelodeon All-Star Brawl 2 Deluxe Edition,2023-11-14,true,7+,IARC,https://www.xbox.com/en-in/games/store/nickelodeon-all-star-brawl-2-deluxe-edition/9P0NZ0JH86CW,https://store-images.s-microsoft.com/image/apps.11302.14522919283547082.a7fd0908-033a-42fe-93ad-d21f9d197ffd.2f6ddd42-4cec-4a87-94e8-2d1f448de667?w=200,40%,"3,799.00","2,279.40",,,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Nickelodeon All-Star Brawl 2 lets you duke it out with the biggest and best fighting character roster yet! This Deluxe edition contains the following content:• Full Base Game• Season Pass Content - 4 additional brawlers - Bonus SpongeBob Squarepants ""The Quickster"" Costume",Countdown Sale,2023-12-30 12:16:41
Nickelodeon All-Star Brawl 2 Ultimate Edition,2023-11-14,true,7+,IARC,https://www.xbox.com/en-in/games/store/nickelodeon-all-star-brawl-2-ultimate-edition/9NFK22F8VWPN,https://store-images.s-microsoft.com/image/apps.37163.13598087676133985.f819c7f7-2ac4-4717-b0c1-2a8408f28ebf.9c7bfeb5-3810-4f59-b0bd-877f7c7ad238?w=200,40%,"4,349.00","2,609.40",,,Optimised for Xbox Series X|S,"Xbox Series X|S, Xbox One","Duke it out with the biggest and best fighting character roster yet! This Ultimate edition contains the following content:• Full Base Game• Season Pass Content - 4 additional brawlers - Bonus SpongeBob Squarepants ""The Quickster"" Costume • A bonus costume for every brawler!",Countdown Sale,2023-12-30 12:16:41
BRAWLHALLA - ALL LEGENDS PACK,2018-11-06,false,7+,IARC,https://www.xbox.com/en-in/games/store/brawlhalla---all-legends-pack/C3ZKW7W0NH8D,https://store-images.s-microsoft.com/image/apps.60631.66915708565277087.6939cc90-5cdd-45d0-b0cd-a485dca34280.160b949a-8de8-4012-9dad-bba0d534927d?w=200,50%,"3,324.00","1,662.00",,,,"Xbox Series X|S, Xbox One",The All Legends Pack immediately unlocks all current Legends and every Legend we add in the future. Everything in the “Legends” tab in the in-game store would be yours to have. Forever. Note that this doesn’t unlock Crossovers.,Countdown Sale,2023-12-30 12:16:41
BRAWLHALLA - COLLECTORS PACK,2018-11-06,false,7+,IARC,https://www.xbox.com/en-in/games/store/brawlhalla---collectors-pack/BWRJQFQW4C9B,https://store-images.s-microsoft.com/image/apps.55698.71698699319418803.54e4fbfe-f612-40de-b81c-0fa3f1f6f335.e4750fbe-3a08-4145-9336-b8fc83a48c19?w=200,10%,"8,349.00","7,514.10",,,,"Xbox Series X|S, Xbox One","The Brawlhalla Collectors pack includes 3500 Mammoth Coins | The All Legends Pack | Collectors ""Asgardian Elite"" Weapon Skins (for all current and future weapons) | Collectors ""Champion of the Brawl"" Bodvar Skin | Collectors ""Flames of Ragnarok"" KO special effect | Collectors Edition Nameplate | Firehawk Sidekick*Collectors ""Asgardian Elite"" Weapon Skins usable by all Legends.",Countdown Sale,2023-12-30 12:16:41
Breakout: Recharged,2022-02-09,true,3+,IARC,https://www.xbox.com/en-in/games/store/breakout-recharged/9P7178RS82S7,https://store-images.s-microsoft.com/image/apps.3334.14613822903200472.7cceb431-0ab2-495d-95d2-9da400aa97c9.7e9625e3-d76c-4cba-a727-4f1eb8890796?w=200,50%,574.00,287.00,,,,"Xbox Series X|S, Xbox One",The original brick breaker returns with its toughest challenge yet. Survive as long as you can in arcade or take on one of 50 challenges picking up game-changing power-ups along the way.,Countdown Sale,2023-12-30 12:16:41
Brewmaster: Beer Brewing Simulator,2022-10-27,false,18+,IARC,https://www.xbox.com/en-in/games/store/brewmaster-beer-brewing-simulator/9N4B8BM1J3DT,https://store-images.s-microsoft.com/image/apps.55891.13986158891517658.07e1a826-1207-424b-8010-f648b0d2cb99.010f5764-b313-41e1-8953-3f5dbbd1ad5a?w=200,33%,974.00,652.58,,,,"Xbox Series X|S, Xbox One",Brew your perfect beer in this relaxing home brewing sim.,Countdown Sale,2023-12-30 12:16:41
Broken Age,2017-06-23,false,12+,IARC,https://www.xbox.com/en-in/games/store/broken-age/BRT1K9FV4LRR,https://store-images.s-microsoft.com/image/apps.12656.69320940561073110.189571f5-bf61-4250-851f-3d627dfcdc29.695e62b5-19f8-4531-892c-a34153291adf?w=200,80%,824.00,164.80,1.8,43,,"Xbox Series X|S, Xbox One","Broken Age is a timeless coming-of-age story of barfing trees and talking spoons. Vella Tartine and Shay Volta are two teenagers in strangely similar situations, but radically different worlds.",Countdown Sale,2023-12-30 12:16:41
